Last updated 09 February,,,,,,,,,,,,,,,,,,,,,
,Team Capability,,,,,,,,Location,,,,,,,,,,,,
Supplier,Performance Analysis and Data ,Security,Service delivery,Software Development,Support and Operations,Testing and Auditing,User Experience and Design,User research,"No specific region, they can work remotely",Scotland,North East England,North West England,Yorkshire and the Humber,East Midlands,West Midlands,East of England,Wales,London,South East England,South West England,Northern Ireland
Estelia Ltd,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
DVV Solutions,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Infinitive IT Ltd,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Maxole Ltd,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Storm Creative,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no
UCNS Managed IT,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no
Digital Specialists,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
INZENKA LTD,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
MyComms Ltd,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Unius Learning,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ConversionWorks,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
IAME Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Bankside Systems Ltd.,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no
BusinessMatch.Global,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Energy Elephant Ltd,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Graph Digital Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Blue Aspect Solutions,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Shireglobe Computers Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Indulge Media,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Spiderstrand Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Everlution Software Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no
Damco Solutions/ TestingXperts,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Alt Delivery,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Project Altai Ltd,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Fowlam Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no
Vervitech Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hu Bu Ltd,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Vexasoft Ltd.,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Agile Gecko,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Applied,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
RT Consulting,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Danatics UK,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Whoojemaflip Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
AuraQ Limited,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ferrier Pearce Digital t/a Kolab,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no
ProcessWhirl Management Consulting,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
Sundown Solutions Ltd,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Verifi Solutions Ltd,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Generation Digital,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Talk Think Do Limited,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Projflow IT Services,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Damn Fine Media Ltd.,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
The Most Jam Ltd,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no
OCB Media,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Anson Resolution,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no
Newton Systems LTD.,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no
All Round Defence,no,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SoulTek is the trading name of KonnektSolutions (Scotland) Limited,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Outpost24 UK Ltd,no,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Twin Systems PLC,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Qbiz UK Ltd,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
LEOPARD GLOBAL PARTNERS LIMITED,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no
JDX Consulting Ltd,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Discovery Works,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Lawford Education Ltd,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,no
iWeb,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no
RapidGRC,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Flaxlands Consulting Ltd,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no
Purple Business and Technology Consultancy,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ABAX UK Ltd,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Soteria Business Services Ltd,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
Cefriel,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Testing Assured Ltd,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
AMI Enterprises ltd,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Cloud and Enterprise Delivery Solutions,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Axiologik,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
4 Roads Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sanstor Data Systems Limited,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Greentrac Digital Limited,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
GetNEW Digital,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
UTC Aerospace Systems,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hexton Media,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no
User Central Ltd,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Newton Croxley Limited,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no
Blue Lights Digital,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no
MBA Michael Associates UK,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SafetyNet Computing Limited,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
Vector Resourcing Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Purely Digital Services,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Evisa Solutions,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
IAsquare (Dialect Labs),no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Projecting Success,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
ICA PARTNERSHIP,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Sprydon Designs Ltd,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
Inasight Ltd,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
METABIT SOLUTIONS LTD,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no
Accordant Solutions Ltd,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
CodeLabs Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
TFV Consulting Limited,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Streeten Design,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
ABIS IT Solutions,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Marmelo,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Netmatters Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
IMD CONSULTANCY,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ARG Services Limited,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Moving Flow Limited,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Supafonica,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
Twisted Fish IT Services,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Codify,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Blue Cloud Consultancy Services,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PGJ SERVICES LIMITED,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no
Juicy Media Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Creativeworld,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
Forzani Associates Ltd,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Superwire Ltd,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
DIGIWORX,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Impact Social,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amsphere,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Enfuse Group,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Alesto Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Martin Charlesworth Limited,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
GATHER IT LIMITED,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Gulp Digital,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Media Marketing Research International,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Enterprise Technology Management Ltd.,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Networkology Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Aker Systems Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Hue Labs,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
KDI Consultancy Limited,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Strategic Capability Services Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no
TORI Global,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Latitude Telecommunications Limited,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
UT-Tech Management Limited,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no
Watermelon Chang Lindley ltd (User Research),yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Winchester Innovation Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no
Larmer Brown Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cartref Consulting Ltd,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes
Roc Search,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Appdragon,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no
KenwayHall Ltd,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Mi Concepts Limited,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
The Scale Factory,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no
Lean Lychee,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no
Black Cell,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Agroknow,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
BlueFort Security Ltd,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Dynamic Business Services Limited,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
CatBase Publishing Systems Ltd.,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Orenda Associates,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no
NTT DATA SERVICES UK LIMITED,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Private Public Ltd,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Medcura Technologies Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
FIFY,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ropes2Ground Limited,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Choice Solutions Limited,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
Ray Hatten LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Appleby Consulting,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Prosphere Consulting,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no
Optimise Solutions / Optimise Web,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
People 2 Procure Limited,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Xynomix Limited,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Records Sound the Same Ltd,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Strata Health LTD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
weheartdigital Ltd,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no
N51 Solutions Ltd,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Quorum Cyber Limited,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Total Data Warehouse Solutions Uk Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Business Continuity Solutions Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,yes,yes
R U Digital LLP,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no
Bertini Ltd,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no
Secure Cyber Solutions Limited,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Ekavat Limited,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Pindrop,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cloud40 Ltd,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
iBusinesslabs Ltd,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Code Interactive Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
SIS Ltd,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no
Under Our Umbrella,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Giltar Information Security,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Taran Business Solutions Ltd,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,no
Waterstons Limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
i10,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no
epifny consulting,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Malikshaw Limited,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cyber Media Solutions Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Handsum,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Tuware,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Nice Agency (Karmarama Communications),yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
Helyar Services Ltd,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no
Vialogic Consulting Services Ltd,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no
ASX Consulting,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no
Kubrick Group,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Evolution Artificial Intelligence ltd,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Artisan of Code Ltd,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Pureparadox Ltd,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
EYES OPEN CREATIVE CIC,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no
DrakeLong Limited,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Nexx Consulting,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Campaign Master (UK) Ltd.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
shauncheesman.com,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
CloudNet Design,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no
Codecrossing,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
TigerCat,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
Agilysts,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Conway Consulting,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
xoom limited,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
Newton Enterprise Consulting,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Solutec Uk Limited,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
A2Z technologies Ltd,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Random Analysis Limited,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
IntoZetta Limited,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Agenci Ltd.,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Telaugos Solutions Ltd,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
Zenith Project Solutions LTD,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no
Uasabi Limited,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no
SPIRE PAYMENTS LIMITED,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
MCC Digital Ltd,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
